Id,age,biology,chemistry,choose,english,geography,history,lesson_price,log_age,log_lesson_price,log_mean_exam_points,log_qualification,log_years_of_experience,mean_exam_points,physics,qualification,sqr_age,sqr_lesson_price,sqr_mean_exam_points,sqr_qualification,sqr_years_of_experience,sqrt_age,sqrt_lesson_price,sqrt_mean_exam_points,sqrt_qualification,sqrt_years_of_experience,years_of_experience
0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.38731422599909526,0.796105785861261,0.7284069236898388,0.4999996393259796,0.0,0.6119402985074627,0.0,0.3333333333333333,0.16996336996336997,0.2944578313253012,0.49231287173156774,0.2,0.0,0.3246739049389714,0.6616303559675205,0.6715555613055123,0.41421356237309515,0.0,0.0
1.0,0.6444444444444445,1.0,0.0,1.0,0.0,0.0,1.0,0.28,0.75252707714824,0.6143101483258758,0.4929756756289172,0.4999996393259796,0.3154645652402263,0.3582089552238806,1.0,0.3333333333333333,0.5311355311355311,0.09783132530120482,0.24239703736954327,0.2,0.04938271604938271,0.7000015123174401,0.43552777669262355,0.42422708614522525,0.41421356237309515,0.47140452079103173,0.2222222222222222
2.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.41333333333333333,0.21383646638784215,0.7271009375350724,0.6252101994139455,0.0,0.49999977244008986,0.4925373134328358,1.0,0.0,0.0761904761904762,0.1942168674698795,0.3666255190214342,0.0,0.1111111111111111,0.1708024421348572,0.5685205070947691,0.5591612707356934,0.0,0.5773502691896257,0.3333333333333333
3.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.22666666666666666,0.3330339973796077,0.5558641489327829,0.6252101994139455,0.0,0.49999977244008986,0.4925373134328358,0.0,0.0,0.13675213675213677,0.06827309236947791,0.3666255190214342,0.0,0.1111111111111111,0.2749642642366554,0.37492781685484133,0.5591612707356934,0.0,0.5773502691896257,0.3333333333333333
4.0,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.5466666666666666,0.639426711416166,0.8113454891512945,0.7161347935080804,0.4999996393259796,0.49999977244008986,0.5970149253731343,1.0,0.3333333333333333,0.38754578754578756,0.3227309236947791,0.4758164066883627,0.2,0.1111111111111111,0.5757332863210903,0.683517863645639,0.6578503844033898,0.41421356237309515,0.5773502691896257,0.3333333333333333
5.0,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.22666666666666666,0.43857728841118215,0.5558641489327829,0.44420770954581257,0.4999996393259796,0.49999977244008986,0.31343283582089554,0.0,0.3333333333333333,0.20512820512820512,0.06827309236947791,0.20502749410840534,0.2,0.1111111111111111,0.37298242757771277,0.37492781685484133,0.37690757696307353,0.41421356237309515,0.5773502691896257,0.3333333333333333
6.0,0.6888888888888889,0.0,1.0,1.0,0.0,0.0,0.0,0.16,0.7873424446295657,0.4647076877341195,0.4101663996395352,0.0,0.49999977244008986,0.2835820895522388,0.0,0.0,0.582905982905983,0.03855421686746988,0.1812366737739872,0.0,0.1111111111111111,0.7398135586003175,0.2903518511284157,0.3446273044524694,0.0,0.5773502691896257,0.3333333333333333
7.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.68,0.304647211632015,0.8786134644814985,0.9537340817187879,0.7924811006673347,0.3154645652402263,0.9253731343283582,1.0,0.6666666666666666,0.12087912087912088,0.4833734939759036,0.8905846706318034,0.5333333333333333,0.04938271604938271,0.24954433832651352,0.7863016284035752,0.9404983238714479,0.7320508075688772,0.47140452079103173,0.2222222222222222
8.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.29333333333333333,0.8208915143889642,0.6274575486413622,0.5086628128401797,0.4999996393259796,0.49999977244008986,0.373134328358209,1.0,0.3333333333333333,0.6366300366300366,0.10602409638554217,0.25530243519245877,0.2,0.1111111111111111,0.7788949223432976,0.4499030262273737,0.439722243309157,0.41421356237309515,0.5773502691896257,0.3333333333333333
9.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5733333333333334,0.598420060657868,0.8259223830542971,0.691077969644227,0.4999996393259796,0.6309295856002731,0.5671641791044776,0.0,0.3333333333333333,0.3435897435897436,0.352289156626506,0.44349680170575695,0.2,0.19753086419753085,0.5325263310958385,0.7049241508333254,0.6301554702613,0.41421356237309515,0.6666666666666666,0.4444444444444444
